c,n,repeticion,orden_efectivo
50,500,6,2
50,500,7,2
50,500,8,2
50,500,9,2
50,500,10,2
50,500,11,2
50,500,12,2
50,500,13,2
50,500,14,2
50,500,15,2
50,500,16,2
50,500,17,2
50,500,18,2
50,500,19,2
50,1000,0,2
50,1000,1,2
50,1000,2,2
50,1000,3,2
50,1000,4,2
50,1000,5,2
50,1000,6,2
50,1000,7,2
50,1000,8,2
50,1000,9,2
50,1000,10,2
50,1000,11,2
50,1000,12,2
50,1000,13,2
50,1000,14,2
50,1000,15,2
50,1000,16,2
50,1000,17,2
50,1000,18,2
50,1000,19,2
50,2500,0,3
50,2500,1,3
50,2500,2,3
50,2500,3,3
50,2500,4,3
50,2500,5,3
50,2500,6,3
50,2500,7,3
50,2500,8,3
50,2500,9,3
50,2500,10,3
50,2500,11,3
50,2500,12,3
50,2500,13,3
50,2500,14,3
50,2500,15,3
50,2500,16,3
50,2500,17,3
50,2500,18,3
50,2500,19,3
50,5000,0,3
50,5000,1,3
50,5000,2,3
50,5000,3,3
50,5000,4,3
50,5000,5,3
50,5000,6,3
50,5000,7,3
50,5000,8,3
50,5000,9,3
50,5000,10,3
50,5000,11,3
50,5000,12,3
50,5000,13,3
50,5000,14,3
50,5000,15,3
50,5000,16,3
50,5000,17,3
50,5000,18,3
50,5000,19,3
50,10000,0,3
50,10000,1,3
50,10000,2,3
50,10000,3,3
50,10000,4,3
50,10000,5,3
50,10000,6,3
50,10000,7,3
50,10000,8,3
50,10000,9,3
50,10000,10,3
50,10000,11,3
50,10000,12,3
50,10000,13,3
50,10000,14,3
50,10000,15,3
50,10000,16,3
50,10000,17,3
50,10000,18,3
50,10000,19,3
